cliente_id,device_id,modelo,sistemaOperacional,primeiroAcesso,ultimoAcesso
CLI0361,DEV0361,Pixel 8,Android 14,2022-02-04,2026-02-02
CLI0362,DEV0362,iPhone 15,iOS 18,2024-05-18,2025-07-03
CLI0363,DEV0363,Pixel 8,Android 14,2022-09-24,2025-04-19
CLI0364,DEV0364,Galaxy A54,Android 13,2022-04-21,2025-08-05
CLI0365,DEV0365,Moto G84,Android 14,2024-10-10,2025-05-23
CLI0366,DEV0366,Galaxy A54,Android 13,2024-05-22,2025-10-30
CLI0367,DEV0367,Moto G84,Android 14,2022-08-08,2025-06-25
CLI0368,DEV0368,iPhone 14,iOS 17,2023-05-27,2025-01-31
CLI0369,DEV0369,Moto G84,Android 14,2024-07-13,2025-07-08
CLI0370,DEV0370,Moto G84,Android 14,2023-12-14,2025-07-10
CLI0371,DEV0371,Pixel 8,Android 14,2022-08-06,2025-03-12
CLI0372,DEV0372,Moto G84,Android 14,2022-05-02,2026-01-29
CLI0373,DEV0373,iPhone 14,iOS 17,2024-04-24,2025-10-11
CLI0374,DEV0374,Galaxy A54,Android 13,2022-11-28,2025-08-05
CLI0375,DEV0375,Pixel 8,Android 14,2024-01-21,2025-08-18
CLI0376,DEV0376,Redmi Note 12,Android 13,2022-05-05,2025-08-26
CLI0377,DEV0377,iPhone 14,iOS 17,2023-05-20,2025-01-28
CLI0378,DEV0378,Pixel 8,Android 14,2023-08-13,2025-07-04
CLI0379,DEV0379,Pixel 8,Android 14,2024-03-31,2025-03-31
CLI0380,DEV0380,iPhone 15,iOS 18,2023-12-16,2025-09-30
CLI0381,DEV0381,Moto G84,Android 14,2023-06-04,2025-09-12
CLI0382,DEV0382,Redmi Note 12,Android 13,2023-02-15,2025-11-07
CLI0383,DEV0383,Galaxy A54,Android 13,2022-11-01,2025-02-10
CLI0384,DEV0384,Redmi Note 12,Android 13,2024-08-30,2025-01-10
CLI0385,DEV0385,iPhone 14,iOS 17,2023-09-29,2025-06-19
CLI0386,DEV0386,Galaxy A54,Android 13,2024-09-21,2025-12-08
CLI0387,DEV0387,Moto G84,Android 14,2023-04-29,2025-10-06
CLI0388,DEV0388,iPhone 15,iOS 18,2022-05-15,2025-06-12
CLI0389,DEV0389,Redmi Note 12,Android 13,2024-10-14,2025-07-22
CLI0390,DEV0390,Galaxy A54,Android 13,2024-06-18,2025-12-17
CLI0391,DEV0391,Galaxy A54,Android 13,2024-02-22,2025-02-20
CLI0392,DEV0392,Galaxy A54,Android 13,2023-06-30,2025-05-08
CLI0393,DEV0393,iPhone 15,iOS 18,2024-11-21,2025-12-09
CLI0394,DEV0394,iPhone 14,iOS 17,2023-06-25,2025-03-26
CLI0395,DEV0395,iPhone 14,iOS 17,2024-11-21,2025-08-24
CLI0396,DEV0396,iPhone 14,iOS 17,2022-11-21,2025-12-05
CLI0397,DEV0397,Pixel 8,Android 14,2022-06-21,2025-05-01
CLI0398,DEV0398,iPhone 15,iOS 18,2022-08-18,2025-02-12
CLI0399,DEV0399,Redmi Note 12,Android 13,2024-11-06,2025-01-16
CLI0400,DEV0400,Moto G84,Android 14,2022-10-11,2025-03-24
CLI0401,DEV0401,Moto G84,Android 14,2024-06-20,2025-09-17
CLI0402,DEV0402,Pixel 8,Android 14,2022-02-22,2025-05-13
CLI0403,DEV0403,Redmi Note 12,Android 13,2022-07-11,2026-03-01
CLI0404,DEV0404,Moto G84,Android 14,2024-04-05,2025-02-16
CLI0405,DEV0405,Redmi Note 12,Android 13,2023-07-08,2026-02-10
CLI0406,DEV0406,Redmi Note 12,Android 13,2024-03-14,2025-10-24
CLI0407,DEV0407,Moto G84,Android 14,2023-12-28,2025-04-28
CLI0408,DEV0408,Galaxy A54,Android 13,2022-04-01,2025-09-11
CLI0409,DEV0409,Redmi Note 12,Android 13,2023-04-05,2025-06-20
CLI0410,DEV0410,Galaxy S23,Android 14,2022-04-03,2025-11-06
CLI0411,DEV0411,iPhone 15,iOS 18,2023-06-27,2025-11-10
CLI0412,DEV0412,iPhone 15,iOS 18,2022-05-13,2025-08-16
CLI0413,DEV0413,iPhone 15,iOS 18,2022-11-24,2025-07-02
CLI0414,DEV0414,Moto G84,Android 14,2022-09-14,2025-01-01
CLI0415,DEV0415,Galaxy A54,Android 13,2024-12-26,2025-12-23
CLI0416,DEV0416,Galaxy S23,Android 14,2024-03-20,2025-09-03
CLI0417,DEV0417,iPhone 14,iOS 17,2022-05-10,2025-02-15
CLI0418,DEV0418,Redmi Note 12,Android 13,2022-12-01,2026-02-25
CLI0419,DEV0419,Galaxy A54,Android 13,2024-04-14,2025-01-01
CLI0420,DEV0420,Moto G84,Android 14,2024-11-12,2025-02-18
CLI0421,DEV0421,Pixel 8,Android 14,2023-09-11,2025-09-11
CLI0422,DEV0422,Redmi Note 12,Android 13,2022-03-06,2025-04-09
CLI0423,DEV0423,Galaxy A54,Android 13,2024-09-18,2026-01-18
CLI0424,DEV0424,Moto G84,Android 14,2022-03-27,2025-10-07
CLI0425,DEV0425,iPhone 15,iOS 18,2022-07-18,2025-05-20
CLI0426,DEV0426,Pixel 8,Android 14,2023-04-09,2025-06-17
CLI0427,DEV0427,Galaxy A54,Android 13,2023-05-25,2025-12-24
CLI0428,DEV0428,Galaxy A54,Android 13,2023-10-02,2025-12-19
CLI0429,DEV0429,iPhone 14,iOS 17,2022-09-12,2025-11-11
CLI0430,DEV0430,Galaxy S23,Android 14,2023-05-20,2025-12-23
CLI0431,DEV0431,Galaxy A54,Android 13,2022-06-10,2025-08-05
CLI0432,DEV0432,Galaxy A54,Android 13,2023-10-06,2025-05-08
CLI0433,DEV0433,Galaxy S23,Android 14,2024-02-02,2025-11-03
CLI0434,DEV0434,Moto G84,Android 14,2023-09-09,2026-02-18
CLI0435,DEV0435,Galaxy S23,Android 14,2024-02-10,2025-07-12
CLI0436,DEV0436,Galaxy A54,Android 13,2022-04-13,2025-06-17
CLI0437,DEV0437,Galaxy A54,Android 13,2024-01-16,2025-09-08
CLI0438,DEV0438,Pixel 8,Android 14,2023-10-16,2025-04-24
CLI0439,DEV0439,iPhone 15,iOS 18,2024-01-27,2025-05-13
CLI0440,DEV0440,Galaxy S23,Android 14,2023-08-16,2025-01-28
CLI0441,DEV0441,iPhone 14,iOS 17,2024-05-21,2025-03-24
CLI0442,DEV0442,Pixel 8,Android 14,2024-07-14,2025-08-08
CLI0443,DEV0443,Pixel 8,Android 14,2023-10-10,2025-11-10
CLI0444,DEV0444,Galaxy S23,Android 14,2022-07-24,2025-02-17
CLI0445,DEV0445,Redmi Note 12,Android 13,2024-03-06,2025-01-31
CLI0446,DEV0446,Moto G84,Android 14,2024-11-23,2025-07-22
CLI0447,DEV0447,iPhone 15,iOS 18,2024-01-04,2025-08-16
CLI0448,DEV0448,Pixel 8,Android 14,2023-06-23,2025-03-26
CLI0449,DEV0449,iPhone 15,iOS 18,2022-04-20,2025-04-15
CLI0450,DEV0450,Galaxy A54,Android 13,2023-12-10,2025-12-23
CLI0451,DEV0451,Moto G84,Android 14,2023-12-19,2026-02-24
CLI0452,DEV0452,Galaxy S23,Android 14,2022-09-19,2025-03-05
CLI0453,DEV0453,Galaxy S23,Android 14,2023-07-04,2025-01-25
CLI0454,DEV0454,Galaxy S23,Android 14,2024-08-14,2025-06-23
CLI0455,DEV0455,iPhone 15,iOS 18,2022-11-12,2026-01-01
CLI0456,DEV0456,Galaxy A54,Android 13,2024-03-26,2026-01-27
CLI0457,DEV0457,iPhone 14,iOS 17,2023-01-28,2025-10-12
CLI0458,DEV0458,Redmi Note 12,Android 13,2022-01-26,2025-12-02
CLI0459,DEV0459,Galaxy S23,Android 14,2023-11-05,2026-01-01
CLI0460,DEV0460,Redmi Note 12,Android 13,2024-10-27,2026-03-01
CLI0461,DEV0461,Galaxy S23,Android 14,2022-01-25,2025-01-19
CLI0462,DEV0462,Galaxy A54,Android 13,2024-08-29,2025-09-16
CLI0463,DEV0463,Galaxy S23,Android 14,2023-06-05,2025-05-11
CLI0464,DEV0464,iPhone 14,iOS 17,2024-12-24,2025-04-18
CLI0465,DEV0465,Galaxy A54,Android 13,2022-08-08,2025-01-08
CLI0466,DEV0466,Moto G84,Android 14,2024-07-23,2025-09-15
CLI0467,DEV0467,Moto G84,Android 14,2024-12-16,2025-09-21
CLI0468,DEV0468,Galaxy A54,Android 13,2022-09-30,2025-09-03
CLI0469,DEV0469,iPhone 15,iOS 18,2022-03-16,2026-02-19
CLI0470,DEV0470,iPhone 15,iOS 18,2023-07-03,2025-03-09
CLI0471,DEV0471,Moto G84,Android 14,2023-04-28,2025-05-02
CLI0472,DEV0472,Galaxy A54,Android 13,2022-03-03,2025-07-20
CLI0473,DEV0473,Pixel 8,Android 14,2024-11-20,2025-01-26
CLI0474,DEV0474,iPhone 14,iOS 17,2022-08-28,2025-01-08
CLI0475,DEV0475,Redmi Note 12,Android 13,2024-12-05,2025-07-17
CLI0476,DEV0476,Moto G84,Android 14,2024-09-11,2026-01-02
CLI0477,DEV0477,iPhone 15,iOS 18,2024-02-03,2025-07-16
CLI0478,DEV0478,Redmi Note 12,Android 13,2023-05-15,2025-11-25
CLI0479,DEV0479,Galaxy A54,Android 13,2022-10-11,2025-04-10
CLI0480,DEV0480,iPhone 14,iOS 17,2023-02-11,2026-01-11
CLI0481,DEV0481,Pixel 8,Android 14,2023-07-26,2025-06-18
CLI0482,DEV0482,Redmi Note 12,Android 13,2022-04-05,2025-08-12
CLI0483,DEV0483,iPhone 14,iOS 17,2022-01-27,2025-11-28
CLI0484,DEV0484,Redmi Note 12,Android 13,2023-04-06,2025-05-25
CLI0485,DEV0485,Galaxy A54,Android 13,2023-07-05,2026-01-31
CLI0486,DEV0486,Pixel 8,Android 14,2023-02-03,2025-08-09
CLI0487,DEV0487,Moto G84,Android 14,2024-04-09,2025-03-23
CLI0488,DEV0488,Moto G84,Android 14,2024-06-06,2025-10-13
CLI0489,DEV0489,Redmi Note 12,Android 13,2024-09-20,2026-02-05
CLI0490,DEV0490,iPhone 15,iOS 18,2024-01-14,2025-08-21
CLI0491,DEV0491,iPhone 15,iOS 18,2022-02-15,2025-02-14
CLI0492,DEV0492,Pixel 8,Android 14,2023-01-18,2025-07-14
CLI0493,DEV0493,iPhone 14,iOS 17,2024-08-02,2025-07-04
CLI0494,DEV0494,Galaxy A54,Android 13,2023-08-19,2025-12-28
CLI0495,DEV0495,Moto G84,Android 14,2023-01-14,2026-02-06
CLI0496,DEV0496,Moto G84,Android 14,2024-04-04,2025-03-12
CLI0497,DEV0497,Galaxy S23,Android 14,2024-11-15,2025-10-28
CLI0498,DEV0498,iPhone 15,iOS 18,2022-08-04,2026-02-26
CLI0499,DEV0499,Galaxy S23,Android 14,2024-06-10,2026-02-04
CLI0500,DEV0500,Galaxy A54,Android 13,2022-01-01,2025-12-30
CLI0501,DEV0501,Redmi Note 12,Android 13,2023-12-02,2025-07-29
CLI0502,DEV0502,Pixel 8,Android 14,2022-10-06,2025-05-23
CLI0503,DEV0503,iPhone 14,iOS 17,2022-04-30,2025-02-15
CLI0504,DEV0504,Redmi Note 12,Android 13,2024-07-15,2025-05-04
CLI0505,DEV0505,Pixel 8,Android 14,2024-02-04,2025-01-04
CLI0506,DEV0506,iPhone 14,iOS 17,2024-02-01,2025-01-01
CLI0507,DEV0507,iPhone 15,iOS 18,2024-05-25,2025-02-11
CLI0508,DEV0508,Pixel 8,Android 14,2022-10-06,2025-04-13
CLI0509,DEV0509,Redmi Note 12,Android 13,2022-01-31,2025-01-03
CLI0510,DEV0510,Redmi Note 12,Android 13,2023-11-02,2025-12-24
CLI0511,DEV0511,Moto G84,Android 14,2023-03-13,2025-07-31
CLI0512,DEV0512,Pixel 8,Android 14,2022-08-25,2025-07-31
CLI0513,DEV0513,iPhone 15,iOS 18,2023-09-29,2026-02-20
CLI0514,DEV0514,Galaxy S23,Android 14,2022-04-03,2025-03-20
CLI0515,DEV0515,iPhone 14,iOS 17,2024-08-17,2025-06-01
CLI0516,DEV0516,Pixel 8,Android 14,2023-05-11,2025-06-22
CLI0517,DEV0517,Moto G84,Android 14,2024-06-10,2025-01-20
CLI0518,DEV0518,Galaxy S23,Android 14,2024-10-27,2025-04-10
CLI0519,DEV0519,Pixel 8,Android 14,2023-09-03,2025-07-27
CLI0520,DEV0520,Galaxy A54,Android 13,2024-06-28,2025-05-22
CLI0521,DEV0521,iPhone 14,iOS 17,2024-01-16,2025-07-23
CLI0522,DEV0522,Moto G84,Android 14,2023-11-14,2026-01-28
CLI0523,DEV0523,Redmi Note 12,Android 13,2022-07-28,2025-04-30
CLI0524,DEV0524,Galaxy A54,Android 13,2022-07-14,2025-11-04
CLI0525,DEV0525,iPhone 14,iOS 17,2022-12-29,2025-03-28
CLI0526,DEV0526,Pixel 8,Android 14,2023-07-03,2025-12-24
CLI0527,DEV0527,iPhone 15,iOS 18,2024-06-15,2025-06-10
CLI0528,DEV0528,Pixel 8,Android 14,2022-04-14,2025-02-10
CLI0529,DEV0529,Pixel 8,Android 14,2023-06-16,2025-08-14
CLI0530,DEV0530,Galaxy S23,Android 14,2022-03-31,2025-09-10
CLI0531,DEV0531,Moto G84,Android 14,2022-04-12,2025-07-01
CLI0532,DEV0532,iPhone 14,iOS 17,2022-01-20,2025-07-21
CLI0533,DEV0533,iPhone 15,iOS 18,2022-08-31,2025-01-02
CLI0534,DEV0534,iPhone 14,iOS 17,2024-11-03,2025-11-10
CLI0535,DEV0535,iPhone 15,iOS 18,2023-11-21,2025-11-12
CLI0536,DEV0536,Pixel 8,Android 14,2023-05-14,2025-07-11
CLI0537,DEV0537,iPhone 14,iOS 17,2022-03-10,2025-01-31
CLI0538,DEV0538,Moto G84,Android 14,2024-05-27,2026-02-27
CLI0539,DEV0539,Galaxy A54,Android 13,2023-06-23,2025-01-23
CLI0540,DEV0540,Redmi Note 12,Android 13,2023-02-01,2025-10-19
CLI0541,DEV0541,iPhone 14,iOS 17,2024-03-15,2025-09-09
CLI0542,DEV0542,iPhone 15,iOS 18,2022-11-26,2025-11-21
CLI0543,DEV0543,Galaxy A54,Android 13,2023-10-04,2025-05-11
CLI0544,DEV0544,Galaxy A54,Android 13,2023-06-06,2025-04-05
CLI0545,DEV0545,Galaxy S23,Android 14,2023-11-09,2025-02-18
CLI0546,DEV0546,Galaxy S23,Android 14,2023-05-16,2025-01-03
CLI0547,DEV0547,iPhone 15,iOS 18,2022-01-29,2025-03-19
CLI0548,DEV0548,Pixel 8,Android 14,2022-10-06,2025-11-12
CLI0549,DEV0549,Pixel 8,Android 14,2024-07-12,2025-06-15
CLI0550,DEV0550,Galaxy S23,Android 14,2022-12-10,2025-07-22
CLI0551,DEV0551,Redmi Note 12,Android 13,2022-10-17,2025-08-23
CLI0552,DEV0552,Galaxy A54,Android 13,2024-08-06,2025-01-13
CLI0553,DEV0553,Pixel 8,Android 14,2023-12-07,2025-03-24
CLI0554,DEV0554,Galaxy A54,Android 13,2022-12-11,2025-02-20
CLI0555,DEV0555,Moto G84,Android 14,2022-09-12,2025-09-25
CLI0556,DEV0556,Galaxy A54,Android 13,2022-08-06,2026-01-31
CLI0557,DEV0557,Galaxy S23,Android 14,2022-06-17,2026-01-09
CLI0558,DEV0558,Redmi Note 12,Android 13,2022-07-12,2025-07-15
CLI0559,DEV0559,Galaxy A54,Android 13,2024-12-31,2026-01-27
CLI0560,DEV0560,Moto G84,Android 14,2022-11-13,2025-09-18
CLI0561,DEV0561,Galaxy S23,Android 14,2022-04-20,2025-12-03
CLI0562,DEV0562,iPhone 14,iOS 17,2022-04-21,2025-04-01
CLI0563,DEV0563,Redmi Note 12,Android 13,2023-04-14,2025-03-11
CLI0564,DEV0564,Galaxy S23,Android 14,2023-07-25,2025-09-07
CLI0565,DEV0565,iPhone 14,iOS 17,2024-05-13,2025-07-04
CLI0566,DEV0566,iPhone 15,iOS 18,2022-03-15,2025-11-21
CLI0567,DEV0567,iPhone 15,iOS 18,2024-06-17,2025-09-12
CLI0568,DEV0568,Redmi Note 12,Android 13,2023-02-02,2025-01-22
CLI0569,DEV0569,Galaxy A54,Android 13,2023-06-04,2025-07-22
CLI0570,DEV0570,Galaxy A54,Android 13,2024-07-30,2025-07-02
CLI0571,DEV0571,iPhone 15,iOS 18,2022-05-26,2025-12-17
CLI0572,DEV0572,Galaxy A54,Android 13,2023-09-04,2025-07-13
CLI0573,DEV0573,Pixel 8,Android 14,2022-03-01,2025-05-15
CLI0574,DEV0574,Galaxy A54,Android 13,2022-11-29,2025-03-19
CLI0575,DEV0575,iPhone 14,iOS 17,2024-10-23,2025-01-29
CLI0576,DEV0576,Galaxy A54,Android 13,2022-03-25,2025-07-16
CLI0577,DEV0577,Pixel 8,Android 14,2024-03-17,2025-07-05
CLI0578,DEV0578,Redmi Note 12,Android 13,2022-03-16,2025-08-14
CLI0579,DEV0579,Moto G84,Android 14,2024-05-03,2025-06-26
CLI0580,DEV0580,iPhone 15,iOS 18,2022-09-23,2025-03-28
CLI0581,DEV0581,iPhone 15,iOS 18,2023-06-08,2025-04-21
CLI0582,DEV0582,Redmi Note 12,Android 13,2022-11-06,2025-02-21
CLI0583,DEV0583,Moto G84,Android 14,2022-07-20,2026-01-14
CLI0584,DEV0584,Pixel 8,Android 14,2022-06-23,2025-12-03
CLI0585,DEV0585,Moto G84,Android 14,2023-11-25,2026-02-17
CLI0586,DEV0586,Galaxy S23,Android 14,2022-04-28,2025-07-06
CLI0587,DEV0587,Pixel 8,Android 14,2022-03-13,2026-02-19
CLI0588,DEV0588,Galaxy A54,Android 13,2022-02-27,2025-07-11
CLI0589,DEV0589,Galaxy S23,Android 14,2024-07-17,2025-07-25
CLI0590,DEV0590,iPhone 15,iOS 18,2024-06-13,2025-07-09
CLI0591,DEV0591,Galaxy A54,Android 13,2022-05-11,2025-08-09
CLI0592,DEV0592,Galaxy S23,Android 14,2023-08-08,2025-07-09
CLI0593,DEV0593,iPhone 14,iOS 17,2023-12-01,2025-04-05
CLI0594,DEV0594,Galaxy A54,Android 13,2023-09-11,2025-08-17
CLI0595,DEV0595,iPhone 15,iOS 18,2023-05-06,2025-07-08
CLI0596,DEV0596,Pixel 8,Android 14,2023-08-09,2025-01-27
CLI0597,DEV0597,Pixel 8,Android 14,2022-11-19,2025-08-01
CLI0598,DEV0598,Galaxy A54,Android 13,2024-04-25,2025-04-23
CLI0599,DEV0599,iPhone 14,iOS 17,2024-12-29,2025-11-27
CLI0600,DEV0600,iPhone 14,iOS 17,2022-06-12,2025-07-08
CLI0601,DEV0601,iPhone 15,iOS 18,2024-01-13,2026-02-22
CLI0602,DEV0602,Galaxy S23,Android 14,2023-07-01,2025-12-15
CLI0603,DEV0603,iPhone 15,iOS 18,2022-12-02,2025-11-28
CLI0604,DEV0604,iPhone 15,iOS 18,2024-06-29,2025-08-25
CLI0605,DEV0605,Galaxy A54,Android 13,2023-01-21,2025-04-10
CLI0606,DEV0606,Pixel 8,Android 14,2024-01-02,2026-02-22
CLI0607,DEV0607,Galaxy S23,Android 14,2023-10-29,2025-11-29
CLI0608,DEV0608,Galaxy A54,Android 13,2022-12-31,2026-01-09
CLI0609,DEV0609,Redmi Note 12,Android 13,2023-02-04,2025-03-03
CLI0610,DEV0610,Pixel 8,Android 14,2023-03-22,2026-01-26
CLI0611,DEV0611,iPhone 15,iOS 18,2022-09-07,2025-04-12
CLI0612,DEV0612,Pixel 8,Android 14,2024-03-11,2025-04-01
CLI0613,DEV0613,iPhone 15,iOS 18,2024-02-04,2025-11-12
CLI0614,DEV0614,iPhone 15,iOS 18,2024-06-25,2025-04-27
CLI0615,DEV0615,Galaxy S23,Android 14,2024-08-28,2025-12-20
CLI0616,DEV0616,Galaxy A54,Android 13,2024-05-24,2025-02-14
CLI0617,DEV0617,iPhone 14,iOS 17,2024-07-29,2025-01-24
CLI0618,DEV0618,Pixel 8,Android 14,2022-11-21,2026-03-01
CLI0619,DEV0619,iPhone 14,iOS 17,2022-11-16,2025-07-22
CLI0620,DEV0620,Pixel 8,Android 14,2024-10-06,2025-12-08
CLI0621,DEV0621,Galaxy A54,Android 13,2023-02-15,2025-06-16
CLI0622,DEV0622,iPhone 15,iOS 18,2022-11-09,2025-03-14
CLI0623,DEV0623,Galaxy S23,Android 14,2022-11-12,2025-06-27
CLI0624,DEV0624,Redmi Note 12,Android 13,2023-12-26,2025-07-27
CLI0625,DEV0625,Redmi Note 12,Android 13,2022-04-11,2025-07-19
CLI0626,DEV0626,Moto G84,Android 14,2022-04-24,2025-05-20
CLI0627,DEV0627,iPhone 14,iOS 17,2024-09-21,2025-12-09
CLI0628,DEV0628,Galaxy S23,Android 14,2022-11-01,2025-01-07
CLI0629,DEV0629,Redmi Note 12,Android 13,2022-04-28,2025-09-18
CLI0630,DEV0630,Galaxy A54,Android 13,2022-05-10,2025-06-10
CLI0631,DEV0631,Galaxy S23,Android 14,2022-05-29,2026-02-14
CLI0632,DEV0632,Redmi Note 12,Android 13,2023-07-03,2025-02-06
CLI0633,DEV0633,iPhone 14,iOS 17,2022-07-07,2025-10-23
CLI0634,DEV0634,Galaxy A54,Android 13,2024-01-03,2026-02-17
CLI0635,DEV0635,Galaxy S23,Android 14,2022-12-12,2025-08-11
CLI0636,DEV0636,iPhone 15,iOS 18,2022-07-03,2025-03-18
CLI0637,DEV0637,Galaxy A54,Android 13,2024-12-25,2025-10-18
CLI0638,DEV0638,iPhone 15,iOS 18,2022-06-01,2025-03-26
CLI0639,DEV0639,iPhone 15,iOS 18,2024-06-15,2025-11-30
CLI0640,DEV0640,Moto G84,Android 14,2024-08-31,2025-11-29
CLI0641,DEV0641,iPhone 15,iOS 18,2022-08-25,2025-11-05
CLI0642,DEV0642,iPhone 14,iOS 17,2024-11-15,2025-12-11
CLI0643,DEV0643,iPhone 15,iOS 18,2022-04-04,2025-03-23
CLI0644,DEV0644,Galaxy A54,Android 13,2024-02-14,2025-05-20
CLI0645,DEV0645,Redmi Note 12,Android 13,2022-04-13,2025-01-01
CLI0646,DEV0646,Galaxy S23,Android 14,2024-06-10,2025-09-12
CLI0647,DEV0647,iPhone 14,iOS 17,2024-05-09,2026-02-22
CLI0648,DEV0648,Pixel 8,Android 14,2023-11-09,2025-01-17
CLI0649,DEV0649,Galaxy A54,Android 13,2023-02-12,2025-01-20
CLI0650,DEV0650,Galaxy A54,Android 13,2024-06-22,2025-02-10
CLI0651,DEV0651,iPhone 15,iOS 18,2023-10-20,2025-04-16
CLI0652,DEV0652,Galaxy S23,Android 14,2023-12-18,2025-02-26
CLI0653,DEV0653,Galaxy A54,Android 13,2023-09-06,2025-05-01
CLI0654,DEV0654,Pixel 8,Android 14,2023-11-18,2025-11-10
CLI0655,DEV0655,Galaxy S23,Android 14,2023-11-08,2026-01-21
CLI0656,DEV0656,Pixel 8,Android 14,2022-05-30,2026-02-10
CLI0657,DEV0657,Pixel 8,Android 14,2023-06-14,2025-05-22
CLI0658,DEV0658,Galaxy S23,Android 14,2022-02-05,2025-09-27
CLI0659,DEV0659,iPhone 14,iOS 17,2023-11-04,2025-09-14
CLI0660,DEV0660,Redmi Note 12,Android 13,2024-12-05,2025-10-26
CLI0661,DEV0661,Pixel 8,Android 14,2024-07-01,2025-03-08
CLI0662,DEV0662,Galaxy A54,Android 13,2023-11-01,2025-06-04
CLI0663,DEV0663,Galaxy S23,Android 14,2024-08-25,2026-02-14
CLI0664,DEV0664,iPhone 14,iOS 17,2023-09-11,2025-05-23
CLI0665,DEV0665,Redmi Note 12,Android 13,2023-04-03,2025-10-18
CLI0666,DEV0666,iPhone 15,iOS 18,2022-08-24,2025-04-15
CLI0667,DEV0667,iPhone 15,iOS 18,2023-11-09,2025-10-26
CLI0668,DEV0668,Moto G84,Android 14,2023-03-24,2025-02-05
CLI0669,DEV0669,Redmi Note 12,Android 13,2023-11-02,2025-07-23
CLI0670,DEV0670,Moto G84,Android 14,2024-01-30,2025-01-25
CLI0671,DEV0671,Redmi Note 12,Android 13,2022-10-05,2025-01-18
CLI0672,DEV0672,Galaxy S23,Android 14,2024-04-12,2025-04-17
CLI0673,DEV0673,Redmi Note 12,Android 13,2024-05-01,2025-09-16
CLI0674,DEV0674,Pixel 8,Android 14,2023-10-05,2025-12-30
CLI0675,DEV0675,Pixel 8,Android 14,2022-07-03,2025-11-28
CLI0676,DEV0676,Galaxy A54,Android 13,2023-06-24,2025-04-07
CLI0677,DEV0677,iPhone 15,iOS 18,2024-01-21,2025-01-25
CLI0678,DEV0678,Galaxy S23,Android 14,2023-01-07,2025-08-18
CLI0679,DEV0679,Moto G84,Android 14,2022-11-10,2025-11-16
CLI0680,DEV0680,Galaxy A54,Android 13,2022-08-09,2025-04-21
CLI0681,DEV0681,iPhone 15,iOS 18,2023-06-04,2025-07-29
CLI0682,DEV0682,Galaxy S23,Android 14,2022-01-22,2025-08-13
CLI0683,DEV0683,Redmi Note 12,Android 13,2022-04-27,2025-03-30
CLI0684,DEV0684,iPhone 15,iOS 18,2023-04-18,2026-01-12
CLI0685,DEV0685,iPhone 14,iOS 17,2023-03-20,2025-05-19
CLI0686,DEV0686,iPhone 14,iOS 17,2022-02-03,2025-02-16
CLI0687,DEV0687,iPhone 14,iOS 17,2024-02-04,2025-01-30
CLI0688,DEV0688,Redmi Note 12,Android 13,2022-07-28,2025-09-01
CLI0689,DEV0689,iPhone 14,iOS 17,2023-01-10,2025-05-16
CLI0690,DEV0690,Pixel 8,Android 14,2024-06-21,2025-03-20
CLI0691,DEV0691,iPhone 15,iOS 18,2022-11-15,2025-06-12
CLI0692,DEV0692,Pixel 8,Android 14,2024-12-29,2025-05-25
CLI0693,DEV0693,iPhone 15,iOS 18,2023-01-20,2025-08-20
CLI0694,DEV0694,iPhone 14,iOS 17,2022-06-26,2025-01-25
CLI0695,DEV0695,Redmi Note 12,Android 13,2023-12-11,2025-12-19
CLI0696,DEV0696,Pixel 8,Android 14,2022-04-12,2026-02-27
CLI0697,DEV0697,iPhone 14,iOS 17,2023-05-31,2025-12-22
CLI0698,DEV0698,iPhone 14,iOS 17,2022-12-20,2025-03-31
CLI0699,DEV0699,iPhone 15,iOS 18,2024-07-19,2025-04-04
CLI0700,DEV0700,iPhone 14,iOS 17,2024-02-09,2025-04-01
CLI0701,DEV0701,iPhone 15,iOS 18,2022-01-04,2025-12-21
CLI0702,DEV0702,Galaxy S23,Android 14,2024-06-25,2025-01-10
CLI0703,DEV0703,iPhone 14,iOS 17,2023-07-09,2025-08-26
CLI0704,DEV0704,Pixel 8,Android 14,2024-11-05,2025-12-17
CLI0705,DEV0705,Galaxy A54,Android 13,2023-06-12,2025-11-16
CLI0706,DEV0706,Galaxy A54,Android 13,2023-04-23,2025-05-18
CLI0707,DEV0707,iPhone 15,iOS 18,2024-01-05,2025-10-18
CLI0708,DEV0708,Moto G84,Android 14,2022-06-21,2025-03-14
CLI0709,DEV0709,Moto G84,Android 14,2023-08-09,2025-03-01
CLI0710,DEV0710,Moto G84,Android 14,2023-10-13,2025-06-11
CLI0711,DEV0711,iPhone 15,iOS 18,2024-08-06,2025-12-09
CLI0712,DEV0712,iPhone 14,iOS 17,2024-06-02,2025-07-13
CLI0713,DEV0713,Galaxy S23,Android 14,2022-07-18,2025-04-10
CLI0714,DEV0714,iPhone 14,iOS 17,2023-07-13,2025-10-21
CLI0715,DEV0715,iPhone 15,iOS 18,2022-11-07,2025-02-18
CLI0716,DEV0716,Redmi Note 12,Android 13,2022-08-19,2025-12-31
CLI0717,DEV0717,Moto G84,Android 14,2024-10-19,2025-07-25
CLI0718,DEV0718,Galaxy S23,Android 14,2023-06-21,2025-10-12
CLI0719,DEV0719,Pixel 8,Android 14,2022-01-02,2025-01-22
CLI0720,DEV0720,Redmi Note 12,Android 13,2024-12-10,2025-09-03
